  0.5224 0.98933 0.05298
  7.8203 -1.14233 0.08410
 10.3366 -0.56359 0.05212
 13.2832 -0.44735 0.05357
 16.9829 -1.08973 0.07608
 25.2282 -0.29068 0.05484
 30.8895 0.31991 0.09091
 31.9910 -0.75841 0.09088
 37.2346 -0.38317 0.08612
 42.6524 0.78291 0.05749
 46.3513 -0.66052 0.08298
 48.4473 0.91390 0.07593
 49.5326 -0.94638 0.09865
 51.3319 1.03168 0.08245
 52.0779 0.08843 0.09002
 53.7544 0.34481 0.07269
 54.2395 1.01905 0.07162
 56.7047 0.24406 0.09127
 59.4033 -0.32504 0.05417
 61.5907 -0.82466 0.05666
 62.0452 -0.87811 0.05867
 63.4045 0.91004 0.06955
 71.4528 -0.30958 0.09157
 72.8853 0.35059 0.09017
 77.3468 -0.44982 0.05302
 80.8624 0.52426 0.06996
 82.0712 -0.00097 0.07634
 83.4828 -0.07983 0.07084
 86.2345 -0.65763 0.08284
 86.6665 0.19615 0.08140
 88.5275 -0.96729 0.06460
 89.8917 0.57793 0.07158
 91.4987 -0.86035 0.05077
 92.3523 -0.46754 0.09920
 93.3705 1.02371 0.05836
 98.5941 0.14690 0.05531
100.2215 -0.20027 0.06862
100.6063 -0.91375 0.05991
101.6694 0.19477 0.07448
104.0116 -0.86098 0.06697
104.8132 0.54617 0.09758
104.8462 0.63051 0.09602
105.7094 0.71743 0.05263
108.8179 0.36450 0.08689
109.1542 -0.15320 0.06346
109.7551 -0.99886 0.07114
110.3535 -0.48590 0.07739
112.2840 -0.51164 0.09714
117.4929 1.02162 0.07089
118.1552 -0.26981 0.09915
120.8596 0.33501 0.06507
123.0837 0.90406 0.08505
123.9323 0.44024 0.08332
125.3322 -0.46500 0.07696
126.4999 0.95149 0.08491
127.8884 -1.06612 0.08333
130.1515 -0.08318 0.05891
132.0830 0.89208 0.05640
133.9313 -0.91709 0.09995
134.1229 -0.85383 0.05856
134.3033 -0.47546 0.05163
142.0272 0.10761 0.07806
142.0411 -0.06054 0.09409
146.5149 -0.09965 0.08346
151.8455 -1.02466 0.05952
166.2036 -0.28036 0.06845
166.4604 -0.75621 0.07304
168.2513 0.97253 0.09908
175.6690 -1.01388 0.05782
177.1075 0.87782 0.09278
177.6025 0.88621 0.08224
178.1170 0.00971 0.06881
184.1941 -0.33790 0.05955
184.4337 -0.52915 0.07141
187.4608 -0.62534 0.07410
189.0722 0.88374 0.05603
192.5104 0.89278 0.07948
196.2489 -0.42022 0.06131
196.6582 -0.88947 0.06923
205.4942 -0.83869 0.07915
205.6745 -0.98645 0.06259
205.9755 -0.88643 0.06452
206.0279 -0.86625 0.08085
208.4614 -0.68248 0.06326
208.9467 -0.91569 0.09122
209.4051 -0.36678 0.09913
212.0308 -0.94323 0.08651
212.6015 0.13171 0.06719
217.5633 -0.91829 0.07920
227.8429 0.61698 0.05539
